id,scenario,action,expected,actual_note,outcome,file_size_bytes,old_size_bytes,new_size_bytes,duration_ms,working_set_bytes,peak_working_set_bytes,disk_free_before_bytes,disk_free_after_bytes,interference_attempts,interference_first_error,error_code,interference_succeeded,interference_in_window,lock_at_replace,content_ok,detail
"short-0","short_edit","none","not_found","old_data_not_found","pass",14174,15,0,11,5038080,6090752,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-1","short_edit","none","success","none","pass",13422,16,1,25,5566464,6619136,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-2","short_edit","none","success","none","pass",6091,17,2,25,5574656,6627328,22665949184,22665940992,0,0,0,0,0,0,1,""
"short-3","short_edit","none","success","none","pass",14875,18,3,21,5578752,6631424,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-4","short_edit","none","success","none","pass",15727,19,4,23,5578752,6635520,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-5","short_edit","none","success","none","pass",5924,20,4101,21,5582848,6647808,22665949184,22665936896,0,0,0,0,0,0,1,""
"short-6","short_edit","none","success","none","pass",5501,21,6,19,5578752,6647808,22665949184,22665940992,0,0,0,0,0,0,1,""
"short-7","short_edit","none","success","none","pass",15214,22,7,22,5578752,6647808,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-8","short_edit","none","success","none","pass",16389,23,8,23,5578752,6647808,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-9","short_edit","none","success","none","pass",15863,24,9,20,5578752,6647808,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-10","short_edit","none","success","none","pass",1757,26,4106,18,5595136,6647808,22665949184,22665940992,0,0,0,0,0,0,1,""
"short-11","short_edit","none","success","none","pass",4939,27,0,19,5578752,6647808,22665949184,22665940992,0,0,0,0,0,0,1,""
"short-12","short_edit","none","success","none","pass",12349,28,12,19,5578752,6647808,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-13","short_edit","none","success","none","pass",8563,29,13,19,5578752,6647808,22665949184,22665936896,0,0,0,0,0,0,1,""
"short-14","short_edit","none","success","none","pass",6072,30,14,18,5578752,6647808,22665949184,22665940992,0,0,0,0,0,0,1,""
"short-15","short_edit","none","success","none","pass",6422,31,4111,19,5599232,6651904,22665949184,22665936896,0,0,0,0,0,0,1,""
"short-16","short_edit","none","success","none","pass",13347,32,16,22,5582848,6651904,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-17","short_edit","none","not_found","old_data_not_found","pass",9300,33,17,7,5644288,6696960,22665949184,22665936896,0,0,0,0,0,0,1,""
"short-18","short_edit","none","success","none","pass",13703,34,18,23,5582848,6701056,22665949184,22665932800,0,0,0,0,0,0,1,""
"short-19","short_edit","none","success","none","pass",14323,35,19,23,5582848,6701056,22665949184,22665932800,0,0,0,0,0,0,1,""
"long-0","long_edit","none","success","none","pass",3324138,27,0,125,5582848,6701056,22665949184,22662623232,0,0,0,0,0,0,1,""
"long-1","long_edit","none","success","none","pass",5257843,28,8192,146,5595136,6701056,22665949184,22660616192,0,0,0,0,0,0,1,""
"long-2","long_edit","none","success","none","pass",2864107,29,12288,125,5603328,6701056,22665883648,22663004160,0,0,0,0,0,0,1,""
"large-modify-after-progress","large_edit_interference","modify","interference","file_changed","pass",67108864,16,8192,268,5595136,6701056,22665883648,22598762496,1,0,0,1,1,0,0,""
"interference-0","interference_matrix","modify","interference","file_changed","pass",67108864,45,65536,249,5652480,6717440,22665871360,22598762496,1,0,0,1,1,0,0,""
"interference-1","interference_matrix","lock","interference","none","inconclusive",67108864,45,65537,5280,5660672,6774784,22665871360,22598696960,13,32,0,1,0,0,0,"exclusive lock did not block ReplaceFileW"
"interference-2","interference_matrix","delete","interference","file_changed","pass",67108864,45,65538,250,5664768,6774784,22665871360,22665871360,1,0,0,1,1,0,0,""
"interference-3","interference_matrix","rename","interference","file_changed","pass",67108864,45,65539,244,5664768,6774784,22665871360,22598762496,1,0,0,1,1,0,0,""
"interference-unrelated","interference_matrix","unrelated","success","none","pass",67108864,20,32768,803,5632000,6774784,22665871360,22598725632,1,0,0,1,1,0,1,""
